Id,SvcId,Date,Name,Qty,UnitPrice,Disc,Amount
1,1,16/04/2019,ATF9 TRANS OIL,5,32.47,0.0,162.35
3,1,16/04/2019,GASKET-PLUG-OIL DRAIN,1,3.19,0.0,3.19
2,1,16/04/2019,BRAKE FLUID DOT 4,2,24.0,0.0,48.0
4,1,16/04/2019,LABOUR CHARGE,1,120.0,24.0,96.0
5,1,16/04/2019,OIL FILTER,1,13.06,0.0,13.06
6,1,16/04/2019,QUICK CLEAN,1,39.0,0.0,39.0
7,1,16/04/2019,SYNTIUM 800 SE 10W-30,1,105.0,0.0,105.0
8,2,20/09/2018,BATTERY WATER,4,2.5,0.0,10.0
9,2,20/09/2018,DRAIN NUT OIL SUM,1,15.0,0.0,15.0
10,2,20/09/2018,GASKET ENGINE OIL FILLER CAP,1,10.0,0.0,10.0
11,2,20/09/2018,GASKET-PLUG-OIL DRAIN,1,3.19,0.0,3.19
12,2,20/09/2018,LABOUR CHARGE,1,90.0,18.0,72.0
13,2,20/09/2018,OIL FILTER,1,13.06,0.0,13.06
14,2,20/09/2018,POWER STEERING FLUID,1,168.0,0.0,168.0
15,2,20/09/2018,RADIATOR COOLANT,1,33.25,0.0,33.25
16,2,20/09/2018,SYNTIUM 800 SE 10W-30,1,104.83,0.0,104.83
17,3,18/04/2019,AIR FILTER,1,25.0,0.0,25.0
18,3,18/04/2019,LABOUR CHARGE,1,20.0,10.0,10.0
19,3,18/04/2019,RADIATOR COOLANT,1,25.0,0.0,25.0
20,4,28/11/2019,ELEMENT AIR CLEANER,1,25.27,0.0,25.27
21,4,28/11/2019,GASKET-PLUG-OIL DRAIN,1,3.19,0.0,3.19
22,4,28/11/2019,HEADLAMP BULB H4 LHS,1,28.0,0.0,28.0
23,4,28/11/2019,LABOUR CHARGE,1,66.0,0.0,66.0
24,4,28/11/2019,OIL FILTER,1,13.06,0.0,13.06
25,4,28/11/2019,QUICK CLEAN,1,39.0,0.0,39.0
26,4,28/11/2019,SYNTIUM 800 SE 10W-30,1,105.0,0.0,105.0
27,5,28/11/2019,BRAKE PADS,1,95.0,0.0,95.0
28,5,28/11/2019,FAN BELT,1,68.0,0.0,68.0
29,5,28/11/2019,LABOUR,1,80.0,0.0,80.0
30,5,28/11/2019,SPARK PLUG,4,12.0,0.0,48.0
31,5,28/11/2019,TENSIONER,1,160.0,0.0,116.0
32,5,28/11/2019,VALVE COVER GASKET,1,48.0,0.0,48.0
33,7,24/05/2018,BATTERY TERMINAL PROTECTOR (SMALL)-KCL KLSA KNR,1,4.03,0.0,4.03
34,7,24/05/2018,ELEMENT S/A OIL FILTER,1,11.98,0.0,11.98
35,7,24/05/2018,GASKET,1,4.03,0.0,4.03
36,7,24/05/2018,PGO SN 0W-20 4L,1,162.84,0.0,162.84
37,7,24/05/2018,WINDSHIELD WASHER (30ML),1,1.8,0.0,1.8
38,8,13/09/2018,BATTERY TERMINAL PROTECTOR (SMALL)-KCL KLSA KNR,1,4.03,0.0,3.8
39,8,13/09/2018,CABIN FILTER CHARCOAL-3M-ALZA,1,33.0,0.0,33.0
40,8,13/09/2018,ELEMENT S/A OIL FILTER,1,11.9,0.0,11.9
41,8,13/09/2018,GASKET,1,3.8,0.0,3.8
42,8,13/09/2018,MAINTENANCE SERVICE OM [20K & 100K],1,44.52,0.0,44.52
43,8,13/09/2018,PGO SN 0W-20 4L,1,162.0,0.0,162.0
44,8,13/09/2018,WINDSHIELD WASHER (30ML),1,1.7,0.0,1.7
45,9,26/03/2019,ATF D3 SP 18L,3,27.81,2.78,80.65
46,9,26/03/2019,ELEMENT S/A OIL FILTER,1,11.9,0.0,11.9
47,9,26/03/2019,GASKET,2,3.8,0.0,7.6
48,9,26/03/2019,INJECTOR CLEANER 95ML,1,24.0,0.0,24.0
49,9,26/03/2019,MAINTENANCE SERVICE OM [20K & 100K],1,44.52,0.0,44.52
50,9,26/03/2019,PGO SN 0W-20 4L,1,162.0,0.0,162.0
51,10,01/08/2019,BATTERY WATER,1,2.7,0.0,2.7
52,10,01/08/2019,CABIN FILTER (CHARCOAL) COMMON MODEL,1,31.5,0.0,31.5
53,10,01/08/2019,ELEMENT S/A AIR CLEANER FILTER D63D 1.3CC,1,43.7,0.0,43.7
54,10,01/08/2019,ELEMENT S/A OIL FILTER,1,11.9,0.0,11.9
55,10,01/08/2019,GASKET,1,3.8,0.0,3.8
56,10,01/08/2019,MAINTENANCE SERVICE OM [30K & 90K],1,46.2,0.0,46.2
57,10,01/08/2019,PGO SN 0W-20 4L,1,162.0,0.0,162.0
58,11,10/03/2020,ATF D3 SP 18L,3,35.9,0.0,107.7
59,11,10/03/2020,CABIN FILTER (CHARCOAL) COMMON MODEL,1,31.5,0.0,31.5
60,11,10/03/2020,ELEMENT S/A OIL FILTER,1,11.9,0.0,11.9
61,11,10/03/2020,GASKET,2,3.8,0.0,7.6
62,11,10/03/2020,INJECTOR CLEANER 95ML,1,24.0,0.0,24.0
63,11,10/03/2020,PGO SN 0W-20 4L,1,162.0,0.0,162.0
64,12,08/07/2019,BEZZA(2016-ABOVE) DOOR VISOR-SMALL,1,60.0,0.0,60.0
65,13,09/02/2020,BATERI CENTURY,1,188.0,0.0,188.0
66,14,05/05/2020,BATERI CWORKS,1,220.0,0.0,220.0
