SvcId,SvcDate,Model,Plate,Workshop,Mileage,Nxt_Mileage,Nxt_Date,Labor,Amount
0,27/03/2020,,,,,,,,
1,16/04/2019,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,120715,125715,14/07/2019,0.00,466.60
2,20/09/2018,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,111783,116783,19/12/2018,0.00,429.35
3,18/04/2019,EXORA 1.6 (A),AGU4004,BENGKEL KERETA WAN,120715,125715,14/07/2019,0.00,60.00
4,28/11/2019,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,128264,133264,28/02/2020,0.00,279.50
5,28/11/2019,EXORA 1.6 (A),AGU4004,BENGKEL KERETA WAN,128264,133264,28/02/2020,0.00,499.00
6,13/03/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,993,1000,03/09/2018,0.00,0.00
7,24/05/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,9900,19900,24/11/2018,0.00,184.70
8,13/09/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,24000,34000,13/03/2019,0.00,260.70
9,26/03/2019,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,34421,44421,26/09/2019,0.00,330.65
10,01/08/2019,BEZZA - 1300 X (AUTO),AKX6455,PERODUA SALES TASEK IPOH,44884,54884,01/02/2019,0.00,304.55
11,10/03/2020,BEZZA - 1300 X (AUTO),AKX6455,PERODUA SALES TASEK IPOH,55108,65108,10/09/2020,0.00,380.30
12,15/04/2020,BEZZA - 1300 X (AUTO),AKX6455,PERODUA SALES TASEK IPOH,5000,5500,15/04/2020,50.00,500.00
13,23/04/2020,EXORA 1.6 (A),AGU4004,PERODUA SALES TASEK IPOH,300000,305000,16/07/2020,25.00,250.00
