Id,SvcId,Date,Name,Qty,UnitPrice,Disc,Amount
0,0,09/02/2020,BATERI CENTURY,1,188.00,0.00,188.00
1,0,08/07/2019,BEZZA(2016-ABOVE) DOOR VISOR-SMALL,1,60.00,0.00,60.00
2,1,16/04/2019,ATF9 TRANS OIL,5,32.47,0.00,162.35
3,1,16/04/2019,BRAKE FLUID DOT 4,2,24.00,0.00,48.00
4,1,16/04/2019,GASKET-PLUG-OIL DRAIN,1,3.19,0.00,3.19
5,1,16/04/2019,LABOUR CHARGE,1,120.00,24.00,96.00
6,1,16/04/2019,OIL FILTER,1,13.06,0.00,13.06
7,1,16/04/2019,QUICK CLEAN,1,39.00,0.00,39.00
8,1,16/04/2019,SYNTIUM 800 SE 10W-30,1,105.00,0.00,105.00
9,2,20/09/2018,BATTERY WATER,4,2.50,0.00,10.00
10,2,20/09/2018,DRAIN NUT OIL SUM,1,15.00,0.00,15.00
11,2,20/09/2018,GASKET ENGINE OIL FILLER CAP,1,10.00,0.00,10.00
12,2,20/09/2018,GASKET-PLUG-OIL DRAIN,1,3.19,0.00,3.19
13,2,20/09/2018,LABOUR CHARGE,1,90.00,18.00,72.00
14,2,20/09/2018,OIL FILTER,1,13.06,0.00,13.06
15,2,20/09/2018,POWER STEERING FLUID,1,168.00,0.00,168.00
16,2,20/09/2018,RADIATOR COOLANT,1,33.25,0.00,33.25
17,2,20/09/2018,SYNTIUM 800 SE 10W-30,1,104.83,0.00,104.83
18,3,18/04/2019,AIR FILTER,1,25.00,1.00,24.00
19,3,18/04/2019,LABOUR CHARGE,1,20.00,10.00,10.00
20,3,18/04/2019,RADIATOR COOLANT,1,25.00,0.00,25.00
21,4,28/11/2019,ELEMENT AIR CLEANER,1,25.27,0.00,25.27
22,4,28/11/2019,GASKET-PLUG-OIL DRAIN,1,3.19,0.00,3.19
23,4,28/11/2019,HEADLAMP BULB H4 LHS,1,29.00,0.00,29.00
24,4,28/11/2019,LABOUR CHARGE,1,66.00,0.00,66.00
25,4,28/11/2019,OIL FILTER,1,13.06,0.00,13.06
26,4,28/11/2019,QUICK CLEAN,1,39.00,0.00,39.00
27,4,28/11/2019,SYNTIUM 800 SE 10W-30,1,105.00,0.00,105.00
28,5,28/11/2019,BRAKE PADS,1,95.00,0.00,95.00
29,5,28/11/2019,FAN BELT,1,68.00,0.00,68.00
30,5,28/11/2019,LABOUR,1,80.00,0.00,80.00
31,5,28/11/2019,SPARK PLUG,4,12.00,0.00,48.00
32,5,28/11/2019,TENSIONER,1,160.00,0.00,116.00
33,5,28/11/2019,VALVE COVER GASKET,1,48.00,0.00,48.00
34,7,24/05/2018,"BATTERY TERMINAL PROTECTOR (SMALL)-KCL,KLSA,KNR",1,4.03,0.00,4.03
35,7,24/05/2018,ELEMENT S/A OIL FILTER,1,11.98,0.00,11.98
36,7,24/05/2018,GASKET,1,4.03,0.00,4.03
37,7,24/05/2018,PGO SN 0W-20 4L,1,162.84,0.00,162.84
38,7,24/05/2018,WINDSHIELD WASHER (30ML),1,1.80,0.00,1.80
39,8,13/09/2018,"BATTERY TERMINAL PROTECTOR (SMALL)-KCL,KLSA,KNR",1,3.80,0.00,3.80
40,8,13/09/2018,CABIN FILTER CHARCOAL-3M-ALZA,1,33.00,0.00,33.00
41,8,13/09/2018,ELEMENT S/A OIL FILTER,1,11.90,0.00,11.90
42,8,13/09/2018,GASKET,1,3.80,0.00,3.80
43,8,13/09/2018,MAINTENANCE SERVICE OM [20K & 100K],1,44.52,0.00,44.52
44,8,13/09/2018,PGO SN 0W-20 4L,1,162.00,0.00,162.00
45,8,13/09/2018,WINDSHIELD WASHER (30ML),1,1.70,0.00,1.70
46,9,26/03/2019,ATF D3 SP 18L,3,27.81,2.78,80.65
47,9,26/03/2019,ELEMENT S/A OIL FILTER,1,11.90,0.00,11.90
48,9,26/03/2019,GASKET,2,3.80,0.00,7.60
49,9,26/03/2019,INJECTOR CLEANER 95ML,1,24.00,0.00,24.00
50,9,26/03/2019,MAINTENANCE SERVICE OM [20K & 100K],1,44.52,0.00,44.52
51,9,26/03/2019,PGO SN 0W-20 4L,1,162.00,0.00,162.00
52,10,01/08/2019,BATTERY WATER,1,2.70,0.00,2.70
53,10,01/08/2019,CABIN FILTER (CHARCOAL) COMMON MODEL,1,31.50,0.00,31.50
54,10,01/08/2019,ELEMENT S/A AIR CLEANER FILTER D63D 1.3CC,1,43.70,0.00,43.70
55,10,01/08/2019,ELEMENT S/A OIL FILTER,1,11.90,0.00,11.90
56,10,01/08/2019,GASKET,1,3.80,0.00,3.80
57,10,01/08/2019,MAINTENANCE SERVICE OM [30K & 90K],1,46.20,0.00,46.20
58,10,01/08/2019,PGO SN 0W-20 4L,1,162.00,0.00,162.00
59,11,10/03/2020,ATF D3 SP 18L,3,35.90,0.00,107.70
60,11,10/03/2020,CABIN FILTER (CHARCOAL) COMMON MODEL,1,31.50,0.00,31.50
61,11,10/03/2020,ELEMENT S/A OIL FILTER,1,11.90,0.00,11.90
62,11,10/03/2020,GASKET,2,3.80,0.00,7.60
63,11,10/03/2020,INJECTOR CLEANER 95ML,1,24.00,0.00,24.00
64,11,10/03/2020,PGO SN 0W-20 4L,1,162.00,0.00,162.00
65,2,20/04/2020,BATERI CENTURY,1,18.00,0.00,18.00
66,5,20/04/2020,ATF D3 SP 18L,1,12.00,0.00,12.00
67,4,21/04/2020,HEADLAMP BULB H4 LHS,1,100.00,10.00,90.00
